ubigeo,distrito,departamen,poblacion,ipress_per_10k,atenciones_per_10k,dist_mediana_km,pct_ccpp_10km,indice_baseline,quintil_baseline,etiqueta_baseline,indice_alternativo,quintil_alternativo,etiqueta_alternativo,cambio_quintil,cambio_abs
100206,SAN FRANCISCO,HUANUCO,3233.0,9.2793,0.0,17.572,3.57,0.495,3,Medium,0.501,3,Medium,0.0,0.0
040118,SAN JUAN DE SIGUAS,AREQUIPA,1591.0,6.2854,0.0,6.146,92.31,0.5319,4,High,0.5374,4,High,0.0,0.0
211303,COPANI,PUNO,5040.0,1.9841,0.0,15.814,0.0,0.3254,1,Very low,0.2297,1,Very low,0.0,0.0
040204,MARISCAL CACERES,AREQUIPA,6637.0,4.5201,0.0,11.829,43.33,0.4297,2,Low,0.4386,2,Low,0.0,0.0
040110,MIRAFLORES,AREQUIPA,48242.0,4.9749,409.187,0.944,100.0,0.7131,5,Very high,0.6918,5,Very high,0.0,0.0
040106,CHIGUATA,AREQUIPA,3012.0,6.6401,0.0,12.805,22.22,0.4784,3,Medium,0.4759,3,Medium,0.0,0.0
190204,PAUCAR,PASCO,1721.0,29.0529,0.0,16.954,0.0,0.6149,4,High,0.5276,4,High,0.0,0.0
021501,CABANA,ANCASH,2715.0,7.3665,62.6151,39.195,0.0,0.5039,3,Medium,0.5162,3,Medium,0.0,0.0
021402,ACAS,ANCASH,1057.0,9.4607,0.0,36.35,0.0,0.4115,2,Low,0.415,2,Low,0.0,0.0
060310,SUCRE,CAJAMARCA,6085.0,3.2868,52.5883,5.474,96.77,0.5961,4,High,0.5979,4,High,0.0,0.0
040124,UCHUMAYO,AREQUIPA,12950.0,4.6332,0.0,11.102,47.37,0.4372,2,Low,0.4444,2,Low,0.0,0.0
040117,SACHACA,AREQUIPA,20059.0,2.4926,0.0,3.212,100.0,0.4697,3,Medium,0.4712,3,Medium,0.0,0.0
040105,CHARACATO,AREQUIPA,10101.0,0.99,0.0,6.212,78.57,0.3955,2,Low,0.3847,2,Low,0.0,0.0
040108,LA JOYA,AREQUIPA,32048.0,3.4324,22.7783,32.411,0.0,0.4131,2,Low,0.4038,2,Low,0.0,0.0
040112,PAUCARPATA,AREQUIPA,126053.0,4.8392,32435.6422,1.876,100.0,0.7534,5,Very high,0.74,5,Very high,0.0,0.0
040121,SANTA RITA DE SIGUAS,AREQUIPA,5854.0,3.4165,0.0,17.278,4.17,0.3569,1,Very low,0.3612,1,Very low,0.0,0.0
100803,MOLINO,HUANUCO,15486.0,3.2287,0.0,21.325,0.0,0.3263,1,Very low,0.2653,1,Very low,0.0,0.0
040101,AREQUIPA,AREQUIPA,52425.0,69.6233,122486.5999,0.654,100.0,0.996,5,Very high,0.9722,5,Very high,0.0,0.0
021102,COCHAPETI,ANCASH,747.0,13.3869,0.0,24.386,0.0,0.5071,3,Medium,0.4643,3,Medium,0.0,0.0
040126,YANAHUARA,AREQUIPA,26233.0,46.8875,399744.5965,0.726,100.0,0.9932,5,Very high,0.9699,5,Very high,0.0,0.0
190202,CHACAYAN,PASCO,4439.0,11.2638,0.0,9.468,55.29,0.5882,4,High,0.5887,4,High,0.0,0.0
190206,SANTA ANA DE TUSI,PASCO,23892.0,6.6968,7.1154,6.878,77.78,0.663,5,Very high,0.6599,5,Very high,0.0,0.0
021407,LLIPA,ANCASH,1814.0,5.5127,0.0,26.667,0.0,0.3621,1,Very low,0.3288,1,Very low,0.0,0.0
